Date,Open,Close,High,Low,Volume,Yearly_Return_%
2000-12-31,0.6866564799870299,0.6854732935390775,1.1274759284169007,0.204314332915306,120301596800,
2001-12-31,0.30238882988579663,0.30320102030471446,0.4066787648599281,0.2164982101226772,94657796800,-55.76763921183612
2002-12-31,0.2868351658465512,0.2870059829382669,0.3924324831392869,0.2003397873541118,77013927200,-5.34135318877611
2003-12-31,0.277743799677409,0.27808837314683293,0.3750378622277612,0.1907431991784576,71230252800,-3.107116339575433
2004-12-31,0.5311633974239202,0.532745072884219,1.0432383035505424,0.3176049442225143,121801668800,91.57401902701099
2005-12-31,1.3984954284161668,1.3998628904422123,2.2631238656355075,0.9387196081076216,182400982400,162.7641177164755
2006-12-31,2.1289924963541123,2.1236848978407354,2.793966220760851,1.5043514596854417,215698966000,51.70663586702196
2007-12-31,3.8505224745185256,3.8470681131598483,6.086981394655516,2.456266742862561,246995985600,81.15060841047412
2008-12-31,4.268137925203296,4.258098659779243,6.006007799740032,2.373491346111315,285981206000,10.684254464155796
2009-12-31,4.397259386519013,4.403108791699485,6.41658319766729,2.345299005508423,143253686800,3.4055136695155808
2010-12-31,7.796400373475477,7.79294666979048,9.796875561813424,5.705796503602202,151024927200,76.98737502196956
2011-12-31,10.918582090929757,10.916869519248841,12.797180722491152,9.312221553621908,124059339600,40.08654212364
2012-12-31,17.336445232639193,17.31825277328491,21.236572520336196,12.26633521526666,131964204400,58.63753563005423
2013-12-31,14.510129026253233,14.495104324249994,17.83939678492842,11.720028336716998,102421569600,-16.30157779767425
2014-12-31,20.27649210563816,20.28635663834829,26.54757938803562,15.308685082513248,63657952400,39.953160629617955
2015-12-31,26.87499740933428,26.84468234531463,29.94411233043049,20.6547296584936,52264199600,32.328750913157144
2016-12-31,23.855652770692576,23.87772435990591,27.216579556472453,20.40565435122547,38729911200,-11.052311766045408
2017-12-31,34.98962704219064,35.01412938790492,41.49879714319126,26.450510831529638,27243106000,46.639306410198046
2018-12-31,44.65266595169127,44.63873787990129,55.30468923839166,34.84559011112074,34156144800,27.487784675066163
2019-12-31,49.85601953572601,49.94881938752674,70.92890598367917,33.7545213511438,28254942800,11.895680209220982
2020-12-31,92.44397844924114,92.52060408460292,135.10543618196706,51.42014640930313,39863855600,85.23081269806198
2021-12-31,137.5982280463482,137.72312249077692,178.3878413686235,113.29394038143424,22812206100,48.85670478852451
2022-12-31,152.05582939206238,152.08749027936108,179.1812320747434,123.99931454878694,22065504500,10.429888263349628
2023-12-31,170.22227314565993,170.51081732177735,197.7524596209657,122.32457128587431,14805886900,12.11363736003237
2024-12-31,205.58693948127103,205.83911272079226,258.9289141129315,162.7523477339115,14390908500,20.719093341946483
2025-12-31,230.90913843503677,231.10906132643785,288.6199951171875,168.63334553301246,13449274400,12.276553406991543
